"name"	"value"	"date_of_information"	"ranking"	"region"
"Lithuania"	"15.05"	"2021 est."	"1"	"Europe"
"Latvia"	"14.63"	"2021 est."	"2"	"Europe"
"Bulgaria"	"14.52"	"2021 est."	"3"	"Europe"
"Ukraine"	"13.90"	"2021 est."	"4"	"Europe"
"Serbia"	"13.49"	"2021 est."	"5"	"Europe"
"Russia"	"13.40"	"2021 est."	"6"	"Central Asia"
"Estonia"	"13.06"	"2021 est."	"7"	"Europe"
"Belarus"	"12.96"	"2021 est."	"8"	"Europe"
"Hungary"	"12.88"	"2021 est."	"9"	"Europe"
"Croatia"	"12.78"	"2021 est."	"10"	"Europe"
"Afghanistan"	"12.57"	"2021 est."	"11"	"South Asia"
"Moldova"	"12.46"	"2021 est."	"12"	"Europe"
"Germany"	"12.22"	"2021 est."	"13"	"Europe"
"Greece"	"12.05"	"2021 est."	"14"	"Europe"
"Central African Republic"	"12.01"	"2021 est."	"15"	"Africa"
"Romania"	"11.99"	"2021 est."	"16"	"Europe"
"Somalia"	"11.82"	"2021 est."	"17"	"Africa"
"Japan"	"11.44"	"2021 est."	"18"	"East Asia/Southeast Asia"
"Lesotho"	"11.41"	"2021 est."	"19"	"Africa"
"Saint Pierre and Miquelon"	"11.09"	"2021 est."	"20"	"North America"
"Portugal"	"10.90"	"2021 est."	"21"	"Europe"
"Georgia"	"10.84"	"2021 est."	"22"	"Middle East"
"Czechia"	"10.72"	"2021 est."	"23"	"Europe"
"Italy"	"10.70"	"2021 est."	"24"	"Europe"
"Poland"	"10.68"	"2021 est."	"25"	"Europe"
"Mozambique"	"10.59"	"2021 est."	"26"	"Africa"
"Monaco"	"10.47"	"2021 est."	"27"	"Europe"
"Montenegro"	"10.37"	"2021 est."	"28"	"Europe"
"Slovenia"	"10.34"	"2021 est."	"29"	"Europe"
"Finland"	"10.33"	"2021 est."	"30"	"Europe"
"Bosnia and Herzegovina"	"10.25"	"2021 est."	"31"	"Europe"
"Isle of Man"	"10.19"	"2021 est."	"32"	"Europe"
"Niger"	"10.09"	"2021 est."	"33"	"Africa"
"Slovakia"	"10.08"	"2021 est."	"34"	"Europe"
"Eswatini"	"9.90"	"2021 est."	"35"	"Africa"
"Austria"	"9.85"	"2021 est."	"36"	"Europe"
"South Sudan"	"9.84"	"2021 est."	"37"	"Africa"
"Spain"	"9.78"	"2021 est."	"38"	"Europe"
"Belgium"	"9.71"	"2021 est."	"39"	"Europe"
"Chad"	"9.70"	"2021 est."	"40"	"Africa"
"Sierra Leone"	"9.70"	"2021 est."	"41"	"Africa"
"France"	"9.58"	"2021 est."	"43"	"Europe"
"Puerto Rico"	"9.53"	"2021 est."	"44"	"Central America"
"Denmark"	"9.50"	"2021 est."	"45"	"Europe"
"Armenia"	"9.48"	"2021 est."	"46"	"Middle East"
"United Kingdom"	"9.41"	"2021 est."	"47"	"Europe"
"Korea, North"	"9.39"	"2021 est."	"48"	"East Asia/Southeast Asia"
"Sweden"	"9.39"	"2021 est."	"49"	"Europe"
"South Africa"	"9.27"	"2021 est."	"50"	"Africa"
"Uruguay"	"9.24"	"2021 est."	"51"	"South America"
"Cuba"	"9.22"	"2021 est."	"52"	"Central America"
"Netherlands"	"9.22"	"2021 est."	"53"	"Europe"
"Guernsey"	"9.19"	"2021 est."	"54"	"Europe"
"Botswana"	"9.12"	"2021 est."	"55"	"Africa"
"Bermuda"	"9.03"	"2021 est."	"56"	"North America"
"Zimbabwe"	"9.02"	"2021 est."	"57"	"Africa"
"Cocos (Keeling) Islands"	"8.89"	"2021 est."	"58"	"Australia - Oceania"
"Cook Islands"	"8.89"	"2021 est."	"59"	"Australia - Oceania"
"Nigeria"	"8.89"	"2021 est."	"60"	"Africa"
"Greenland"	"8.88"	"2021 est."	"61"	"North America"
"Saint Barthelemy"	"8.85"	"2021 est."	"62"	"Central America"
"San Marino"	"8.85"	"2021 est."	"63"	"Europe"
"Gibraltar"	"8.81"	"2021 est."	"64"	"Europe"
"Mali"	"8.77"	"2021 est."	"65"	"Africa"
"Faroe Islands"	"8.68"	"2021 est."	"66"	"Europe"
"Trinidad and Tobago"	"8.68"	"2021 est."	"67"	"Central America"
"Curacao"	"8.65"	"2021 est."	"68"	"Central America"
"Virgin Islands"	"8.58"	"2021 est."	"69"	"Central America"
"Congo, Republic of the"	"8.55"	"2021 est."	"70"	"Africa"
"Aruba"	"8.54"	"2021 est."	"71"	"Central America"
"Switzerland"	"8.44"	"2021 est."	"72"	"Europe"
"Malta"	"8.37"	"2021 est."	"73"	"Europe"
"United States"	"8.35"	"2021 est."	"74"	"North America"
"Grenada"	"8.29"	"2021 est."	"75"	"Central America"
"Guinea"	"8.28"	"2021 est."	"76"	"Africa"
"China"	"8.26"	"2021 est."	"77"	"East Asia/Southeast Asia"
"Angola"	"8.24"	"2021 est."	"78"	"Africa"
"Benin"	"8.21"	"2021 est."	"79"	"Africa"
"Palau"	"8.19"	"2021 est."	"80"	"Australia - Oceania"
"Congo, Democratic Republic of the"	"8.15"	"2021 est."	"81"	"Africa"
"Dominica"	"8.14"	"2021 est."	"82"	"Central America"
"Kazakhstan"	"8.14"	"2021 est."	"83"	"Central Asia"
"Canada"	"8.08"	"2021 est."	"84"	"North America"
"Tuvalu"	"8.04"	"2021 est."	"85"	"Australia - Oceania"
"Norway"	"8.01"	"2021 est."	"86"	"Europe"
"Saint Helena, Ascension, and Tristan da Cunha"	"7.96"	"2021 est."	"87"	"Africa"
"Saint Lucia"	"7.96"	"2021 est."	"88"	"Central America"
"Cameroon"	"7.93"	"2021 est."	"89"	"Africa"
"Burkina Faso"	"7.92"	"2021 est."	"90"	"Africa"
"Hong Kong"	"7.92"	"2021 est."	"91"	"East Asia/Southeast Asia"
"Barbados"	"7.90"	"2021 est."	"92"	"Central America"
"Liechtenstein"	"7.89"	"2021 est."	"93"	"Europe"
"Andorra"	"7.86"	"2021 est."	"94"	"Europe"
"Taiwan"	"7.80"	"2021 est."	"95"	"East Asia/Southeast Asia"
"Jersey"	"7.76"	"2021 est."	"96"	"Europe"
"Cote d'Ivoire"	"7.75"	"2021 est."	"97"	"Africa"
"Guinea-Bissau"	"7.69"	"2021 est."	"98"	"Africa"
"Thailand"	"7.66"	"2021 est."	"99"	"East Asia/Southeast Asia"
"Senegal"	"7.55"	"2021 est."	"100"	"Africa"
"Mauritania"	"7.54"	"2021 est."	"101"	"Africa"
"Jamaica"	"7.42"	"2021 est."	"102"	"Central America"
"Saint Vincent and the Grenadines"	"7.42"	"2021 est."	"103"	"Central America"
"Argentina"	"7.36"	"2021 est."	"104"	"South America"
"Haiti"	"7.29"	"2021 est."	"105"	"Central America"
"Albania"	"7.27"	"2021 est."	"106"	"Europe"
"Luxembourg"	"7.26"	"2021 est."	"107"	"Europe"
"Saint Kitts and Nevis"	"7.24"	"2021 est."	"108"	"Central America"
"Mauritius"	"7.23"	"2021 est."	"109"	"Africa"
"Djibouti"	"7.17"	"2021 est."	"110"	"Africa"
"Equatorial Guinea"	"7.16"	"2021 est."	"111"	"Africa"
"Cambodia"	"7.15"	"2021 est."	"112"	"East Asia/Southeast Asia"
"Burma"	"7.14"	"2021 est."	"113"	"East Asia/Southeast Asia"
"Venezuela"	"7.13"	"2021 est."	"114"	"South America"
"Laos"	"7.12"	"2021 est."	"115"	"East Asia/Southeast Asia"
"India"	"7.10"	"2021 est."	"116"	"South Asia"
"Namibia"	"7.07"	"2021 est."	"117"	"Africa"
"Korea, South"	"6.96"	"2021 est."	"118"	"East Asia/Southeast Asia"
"Kiribati"	"6.94"	"2021 est."	"119"	"Australia - Oceania"
"Azerbaijan"	"6.93"	"2021 est."	"120"	"Middle East"
"Kosovo"	"6.91"	"2021 est."	"121"	"Europe"
"New Zealand"	"6.91"	"2021 est."	"122"	"Australia - Oceania"
"Cyprus"	"6.90"	"2021 est."	"123"	"Europe"
"Guyana"	"6.87"	"2021 est."	"124"	"South America"
"Seychelles"	"6.83"	"2021 est."	"125"	"Africa"
"Brazil"	"6.80"	"2021 est."	"126"	"South America"
"Eritrea"	"6.79"	"2021 est."	"127"	"Africa"
"Australia"	"6.78"	"2021 est."	"128"	"Australia - Oceania"
"Liberia"	"6.78"	"2021 est."	"129"	"Africa"
"Indonesia"	"6.74"	"2021 est."	"130"	"East Asia/Southeast Asia"
"Ireland"	"6.72"	"2021 est."	"131"	"Europe"
"Gambia, The"	"6.66"	"2021 est."	"132"	"Africa"
"Comoros"	"6.61"	"2021 est."	"133"	"Africa"
"Iceland"	"6.56"	"2021 est."	"134"	"Europe"
"Morocco"	"6.53"	"2021 est."	"135"	"Africa"
"Chile"	"6.47"	"2021 est."	"136"	"South America"
"Sri Lanka"	"6.45"	"2021 est."	"137"	"South Asia"
"Sudan"	"6.41"	"2021 est."	"138"	"Africa"
"Tunisia"	"6.35"	"2021 est."	"139"	"Africa"
"Bahamas, The"	"6.34"	"2021 est."	"140"	"Central America"
"Sao Tome and Principe"	"6.33"	"2021 est."	"141"	"Africa"
"Fiji"	"6.31"	"2021 est."	"142"	"Australia - Oceania"
"Ghana"	"6.30"	"2021 est."	"143"	"Africa"
"Dominican Republic"	"6.29"	"2021 est."	"144"	"Central America"
"Bhutan"	"6.28"	"2021 est."	"145"	"South Asia"
"Mongolia"	"6.28"	"2021 est."	"146"	"East Asia/Southeast Asia"
"Bolivia"	"6.26"	"2021 est."	"147"	"South America"
"Nauru"	"6.24"	"2021 est."	"148"	"Australia - Oceania"
"Zambia"	"6.24"	"2021 est."	"149"	"Africa"
"Kyrgyzstan"	"6.18"	"2021 est."	"150"	"Central Asia"
"Pakistan"	"6.10"	"2021 est."	"151"	"South Asia"
"Suriname"	"6.10"	"2021 est."	"152"	"South America"
"Madagascar"	"6.09"	"2021 est."	"153"	"Africa"
"Peru"	"6.09"	"2021 est."	"154"	"South America"
"Burundi"	"6.07"	"2021 est."	"155"	"Africa"
"Turkey"	"6.02"	"2021 est."	"156"	"Middle East"
"American Samoa"	"6.00"	"2021 est."	"157"	"Australia - Oceania"
"Guam"	"5.99"	"2021 est."	"158"	"Australia - Oceania"
"Philippines"	"5.99"	"2021 est."	"159"	"East Asia/Southeast Asia"
"Papua New Guinea"	"5.97"	"2021 est."	"160"	"East Asia/Southeast Asia"
"Rwanda"	"5.95"	"2021 est."	"161"	"Africa"
"Turkmenistan"	"5.95"	"2021 est."	"162"	"Central Asia"
"Montserrat"	"5.94"	"2021 est."	"163"	"Central America"
"El Salvador"	"5.91"	"2021 est."	"164"	"Central America"
"Sint Maarten"	"5.90"	"2021 est."	"165"	"Central America"
"Cayman Islands"	"5.89"	"2021 est."	"166"	"Central America"
"Cabo Verde"	"5.84"	"2021 est."	"167"	"Africa"
"New Caledonia"	"5.84"	"2021 est."	"168"	"Australia - Oceania"
"Ethiopia"	"5.80"	"2021 est."	"169"	"Africa"
"Tajikistan"	"5.78"	"2021 est."	"170"	"Central Asia"
"Vietnam"	"5.78"	"2021 est."	"171"	"East Asia/Southeast Asia"
"Gabon"	"5.76"	"2021 est."	"172"	"Africa"
"Wallis and Futuna"	"5.74"	"2021 est."	"173"	"Australia - Oceania"
"Yemen"	"5.69"	"2021 est."	"174"	"Middle East"
"Timor-Leste"	"5.67"	"2021 est."	"175"	"East Asia/Southeast Asia"
"Malaysia"	"5.66"	"2021 est."	"176"	"East Asia/Southeast Asia"
"Antigua and Barbuda"	"5.63"	"2021 est."	"177"	"Central America"
"Lebanon"	"5.57"	"2021 est."	"178"	"Middle East"
"Nepal"	"5.57"	"2021 est."	"179"	"South Asia"
"Colombia"	"5.53"	"2021 est."	"180"	"South America"
"French Polynesia"	"5.51"	"2021 est."	"181"	"Australia - Oceania"
"Bangladesh"	"5.44"	"2021 est."	"182"	"South Asia"
"Mexico"	"5.41"	"2021 est."	"183"	"North America"
"Uzbekistan"	"5.40"	"2021 est."	"184"	"Central Asia"
"Togo"	"5.39"	"2021 est."	"185"	"Africa"
"Samoa"	"5.36"	"2021 est."	"186"	"Australia - Oceania"
"British Virgin Islands"	"5.30"	"2021 est."	"187"	"Central America"
"Northern Mariana Islands"	"5.28"	"2021 est."	"188"	"Australia - Oceania"
"Tanzania"	"5.17"	"2021 est."	"189"	"Africa"
"Uganda"	"5.17"	"2021 est."	"190"	"Africa"
"Nicaragua"	"5.16"	"2021 est."	"191"	"Central America"
"Ecuador"	"5.15"	"2021 est."	"192"	"South America"
"Iran"	"5.14"	"2021 est."	"193"	"Middle East"
"Kenya"	"5.09"	"2021 est."	"194"	"Africa"
"Israel"	"5.06"	"2021 est."	"195"	"Middle East"
"Panama"	"5.01"	"2021 est."	"196"	"Central America"
"Tonga"	"4.95"	"2021 est."	"197"	"Australia - Oceania"
"Guatemala"	"4.94"	"2021 est."	"198"	"Central America"
"Falkland Islands (Islas Malvinas)"	"4.90"	"2012 est."	"199"	"South America"
"Costa Rica"	"4.86"	"2021 est."	"200"	"Central America"
"Paraguay"	"4.84"	"2021 est."	"201"	"South America"
"Honduras"	"4.67"	"2021 est."	"202"	"Central America"
"Malawi"	"4.66"	"2021 est."	"203"	"Africa"
"Macau"	"4.64"	"2021 est."	"204"	"East Asia/Southeast Asia"
"Anguilla"	"4.62"	"2021 est."	"205"	"Central America"
"Saint Martin"	"4.56"	"2021 est."	"206"	"Central America"
"Egypt"	"4.36"	"2021 est."	"207"	"Africa"
"Syria"	"4.36"	"2021 est."	"208"	"Middle East"
"Algeria"	"4.32"	"2021 est."	"209"	"Africa"
"Marshall Islands"	"4.25"	"2021 est."	"210"	"Australia - Oceania"
"Micronesia, Federated States of"	"4.18"	"2021 est."	"211"	"Australia - Oceania"
"Maldives"	"4.12"	"2021 est."	"212"	"South Asia"
"Belize"	"3.99"	"2021 est."	"213"	"Central America"
"Solomon Islands"	"3.97"	"2021 est."	"214"	"Australia - Oceania"
"Vanuatu"	"3.97"	"2021 est."	"215"	"Australia - Oceania"
"Singapore"	"3.93"	"2021 est."	"216"	"East Asia/Southeast Asia"
"Iraq"	"3.92"	"2021 est."	"217"	"Middle East"
"Brunei"	"3.75"	"2021 est."	"218"	"East Asia/Southeast Asia"
"Libya"	"3.46"	"2021 est."	"219"	"Africa"
"Turks and Caicos Islands"	"3.46"	"2021 est."	"220"	"Central America"
"Jordan"	"3.44"	"2021 est."	"221"	"Middle East"
"West Bank"	"3.43"	"2021 est."	"222"	"Middle East"
"Saudi Arabia"	"3.39"	"2021 est."	"223"	"Middle East"
"Oman"	"3.25"	"2021 est."	"224"	"Middle East"
"Gaza Strip"	"2.94"	"2021 est."	"225"	"Middle East"
"Bahrain"	"2.81"	"2021 est."	"226"	"Middle East"
"Kuwait"	"2.23"	"2021 est."	"227"	"Middle East"
"United Arab Emirates"	"1.51"	"2021 est."	"228"	"Middle East"
"Qatar"	"1.42"	"2021 est."	"229"	"Middle East"
